,Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID
0,also point person company transition system,0,4,neutral,0,0
1,must hand full,1,4,neutral,0,1
2,let talk little bit duty,1,4,neutral,0,3
3,duty right,0,6,positive,0,4
4,heading whole division lot duty,1,4,neutral,0,5
5,see,0,4,neutral,0,6
6,perhaps people dump certain amount,1,4,neutral,0,7
7,good know,0,4,neutral,0,8
8,go detail,1,4,neutral,0,9
9,beg,0,2,negative,0,10
10,right definite answer monday think say confidence fit well,1,4,neutral,0,11
11,really,0,6,positive,0,12
12,absolutely relax,1,4,neutral,0,13
13,waitress went last month,0,6,negative,1,0
14,know forget,1,5,negative,1,1
15,talking,0,6,negative,1,2
16,actually know,1,2,negative,1,3
17,ok,0,4,neutral,1,4
18,right well,0,4,neutral,1,5
19,yeah sure,1,4,neutral,1,6
20,hey mon,0,4,neutral,2,0
21,wan na hear something suck,1,4,neutral,2,1
22,ever,0,3,positive,2,2
23,chris say closing bar,1,5,negative,2,3
24,way,0,6,negative,2,4
25,yeah apparently turning kinda coffee place,1,4,neutral,2,5
26,coffee gon na hang,0,1,negative,2,6
27,got,1,5,negative,2,7
28,get beer,0,4,neutral,2,8
29,hey pick roommate,1,4,neutral,2,9
30,betcha,0,3,positive,2,10
31,italian guy,1,4,neutral,2,11
32,yeah right,0,3,positive,2,12
33,oh god oh god poor monica,1,6,negative,3,0
34,wrote poem,1,4,neutral,3,3
35,look vessel empty nothing inside,1,4,neutral,3,4
36,touched seem emptier still,1,4,neutral,3,5
37,think monica empty empty vase,1,6,negative,3,6
38,oh totally oh god oh seemed happy,1,5,negative,3,7
39,wrote poem,1,4,neutral,4,1
40,look vessel empty nothing inside,1,4,neutral,4,2
41,touched seem emptier still,1,4,neutral,4,3
42,think monica empty empty vase,1,6,negative,4,4
43,oh totally oh god oh seemed happy,1,5,negative,4,5
44,done,0,4,neutral,4,6
45,hey,0,6,positive,5,0
46,hi,1,3,positive,5,1
47,ah building paper route,1,4,neutral,5,3
48,oh,0,4,neutral,5,4
49,hi,1,4,neutral,5,5
50,hi,0,4,neutral,5,6
51,go,1,4,neutral,5,7
52,oh well woman interviewed pretty tough thank god mark coached started talking fall line got happy shut,0,3,positive,5,8
53,proud,1,3,positive,5,9
54,listen ah sorry crazy jealous like lot,1,5,negative,5,11
55,know,0,4,neutral,5,12
56,yeah,1,4,neutral,5,13
57,yeah,0,4,neutral,5,14
58,everybody,1,6,positive,7,1
59,good job joe well done top notch,0,3,positive,8,0
60,liked really liked,1,6,positive,8,1
61,yeah,0,3,positive,8,2
62,part exactly,1,4,neutral,8,3
63,whole thing go,0,4,neutral,8,4
64,oh give specific,1,0,negative,8,5
65,love specific specific best part,0,3,positive,8,6
66,hey scene kangaroo like part,1,4,neutral,8,7
67,surprised see kangaroo world war epic,0,6,negative,8,8
68,fell asleep,1,0,negative,8,9
69,kangaroo,1,0,negative,8,10
70,take suggestion,1,0,negative,8,11
71,coming buddy,1,4,neutral,8,12
72,see later,1,4,neutral,8,13
73,go,0,5,negative,8,14
74,sorry,0,5,negative,8,15
75,sorry,0,5,negative,8,16
76,look,0,6,negative,8,17
77,guy fell asleep,0,0,negative,8,18
78,fell asleep,0,0,negative,8,19
79,mad,0,0,negative,8,20
80,call ambulance,0,0,negative,8,21
