,Emotion,Dialogue_ID
0,4,0
1,4,0
2,4,0
3,4,0
4,4,0
5,2,0
6,4,0
7,4,0
8,6,1
9,6,1
10,4,2
11,5,2
12,4,2
13,1,2
14,4,2
15,4,2
16,6,3
17,4,3
18,4,3
19,6,3
20,5,3
21,4,4
22,4,4
23,6,4
24,5,4
25,4,5
26,3,5
27,3,5
28,5,5
29,3,8
30,4,8
31,3,8
32,4,8
33,6,8
34,0,8
35,4,8
36,4,8
37,5,8
38,5,8
39,0,8
40,4,9
41,0,9
42,4,10
43,4,10
44,4,10
45,4,11
46,4,11
47,3,11
48,4,12
49,4,12
50,3,12
51,4,12
52,4,12
53,3,12
54,3,13
55,3,13
56,4,13
57,4,13
58,1,13
59,0,13
60,0,14
61,0,14
62,0,15
63,4,15
64,4,16
65,3,16
66,3,17
67,3,18
68,3,19
69,3,20
70,3,21
71,1,21
72,2,21
73,4,21
74,6,21
75,2,21
76,0,21
77,3,22
78,4,22
79,6,22
80,4,23
81,4,23
82,4,23
83,4,24
84,4,24
85,5,24
86,5,24
87,5,24
88,4,24
89,4,24
90,4,24
91,4,24
92,4,24
93,3,24
94,4,25
95,4,25
96,4,25
97,4,26
98,4,26
99,4,26
100,3,26
101,4,27
102,4,27
103,4,27
104,4,28
105,3,28
106,3,29
107,3,30
108,4,31
109,4,32
110,4,32
111,0,33
112,3,33
113,4,33
114,4,34
115,2,35
116,2,35
117,2,36
118,3,37
119,4,38
120,4,38
121,3,38
122,5,38
123,6,38
124,2,38
125,3,40
126,3,40
127,3,40
128,4,40
129,3,40
130,6,40
131,3,41
132,3,41
133,3,41
134,3,41
135,4,41
136,4,41
137,3,41
138,4,42
139,4,42
140,0,43
141,1,43
142,4,43
143,4,43
144,4,44
145,0,44
146,1,44
147,4,44
148,1,45
149,4,45
150,6,45
151,4,45
152,6,46
153,0,46
154,6,46
155,0,47
156,3,48
157,3,49
158,4,49
159,4,51
160,4,52
161,4,52
162,4,52
163,4,52
164,4,52
165,3,52
166,2,52
167,3,53
168,3,53
169,3,53
170,3,53
171,4,53
172,4,53
173,4,53
174,4,53
175,4,53
176,6,54
177,4,54
178,3,54
179,3,54
180,5,54
181,4,54
182,4,55
183,6,55
184,4,56
