,Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID
0,also I was the point person on my company’s transition from the KL-5 to GR-6 system.,Chandler,4,neutral,0,0
1,You must’ve had your hands full.,The Interviewer,4,neutral,0,1
2,That I did. That I did.,Chandler,4,neutral,0,2
3,So let’s talk a little bit about your duties.,The Interviewer,4,neutral,0,3
4,My duties?  All right.,Chandler,6,positive,0,4
5,"Now you’ll be heading a whole division, so you’ll have a lot of duties.",The Interviewer,4,neutral,0,5
6,I see.,Chandler,4,neutral,0,6
7,But there’ll be perhaps 30 people under you so you can dump a certain amount on them.,The Interviewer,4,neutral,0,7
8,Good to know.,Chandler,4,neutral,0,8
9,We can go into detail,The Interviewer,4,neutral,0,9
10,No don’t I beg of you!,Chandler,2,negative,0,10
11,"All right then, we’ll have a definite answer for you on Monday, but I think I can say with some confidence, you’ll fit in well here.",The Interviewer,4,neutral,0,11
12,Really?!,Chandler,6,positive,0,12
13,Absolutely.  You can relax,The Interviewer,4,neutral,0,13
14,But then who? The waitress I went out with last month?,Joey,6,negative,1,0
15,You know? Forget it!,Rachel,5,negative,1,1
16,"No-no-no-no, no! Who, who were you talking about?",Joey,6,negative,1,2
17,"No, I-I-I-I don't, I actually don't know",Rachel,2,negative,1,3
18,Ok!,Joey,4,neutral,1,4
19,"All right, well...",Joey,4,neutral,1,5
20,"Yeah, sure!",Rachel,4,neutral,1,6
21,"Hey, Mon.",Chandler,4,neutral,2,0
22,Hey-hey-hey. You wanna hear something that sucks.,Monica,4,neutral,2,1
23,Do I ever.,Chandler,3,positive,2,2
24,Chris says they’re closing down the bar.,Monica,5,negative,2,3
25,No way!,Chandler,6,negative,2,4
26,"Yeah, apparently they’re turning it into some kinda coffee place.",Monica,4,neutral,2,5
27,Just coffee! Where are we gonna hang out now?,Chandler,1,negative,2,6
28,Got me.,Monica,5,negative,2,7
29,Can I get a beer.,Chandler,4,neutral,2,8
30,"Hey, did you pick a roommate?",Monica,4,neutral,2,9
31,You betcha!,Chandler,3,positive,2,10
32,Is it the Italian guy?,Monica,4,neutral,2,11
33,"Um-mm, yeah right!",Chandler,3,positive,2,12
34,"Oh my God, oh my God! Poor Monica!",Phoebe,6,negative,3,0
35,"What, what, what?!",Chandler,6,negative,3,1
36,What?!,Phoebe,6,negative,3,2
37,He was with her when he wrote this poem.,Phoebe,4,neutral,3,3
38,"Look,  'My vessel so empty with nothing inside.",Phoebe,4,neutral,3,4
39,"Now that I've touched you, you seem emptier still.'",Phoebe,4,neutral,3,5
40,"He thinks Monica is empty, she is the empty vase!",Phoebe,6,negative,3,6
41,"Oh, totally. Oh, God, oh, she seemed so happy too.",Phoebe,5,negative,3,7
42,What?!,Phoebe,6,negative,4,0
43,He was with her when he wrote this poem.,Phoebe,4,neutral,4,1
44,"Look,  'My vessel so empty with nothing inside.",Phoebe,4,neutral,4,2
45,"Now that I've touched you, you seem emptier still.'",Phoebe,4,neutral,4,3
46,"He thinks Monica is empty, she is the empty vase!",Phoebe,6,negative,4,4
47,"Oh, totally. Oh, God, oh, she seemed so happy too.",Phoebe,5,negative,4,5
48,Done.,Joey,4,neutral,4,6
49,Hey!,Rachel,6,positive,5,0
50,Hi!,Ross,3,positive,5,1
51,What are you doing here?,Rachel,6,positive,5,2
52,"Ah y'know, this building is on my paper route so I...",Ross,4,neutral,5,3
53,Oh.,Rachel,4,neutral,5,4
54,Hi.,Ross,4,neutral,5,5
55,Hi.,Rachel,4,neutral,5,6
56,How’d did it go?,Ross,4,neutral,5,7
57,"Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldn’t shut up.",Rachel,3,positive,5,8
58,I’m so proud of you.,Ross,3,positive,5,9
59,Me too!,Rachel,3,positive,5,10
60,"Listen, I’m ah, I’m sorry I’ve been so crazy and jealous and, it’s just that I like you a lot, so...",Ross,5,negative,5,11
61,I know.,Rachel,4,neutral,5,12
62,Yeah.,Ross,4,neutral,5,13
63,Yeah.,Rachel,4,neutral,5,14
64,Ameri-can.,Phoebe,4,neutral,6,0
65,Ameri-ccan.,Joey,4,neutral,6,1
66,Ameri-can. Y'know it’s a,Phoebe,4,neutral,6,2
67,Ameri-can. Y'know it’s a,Phoebe,4,neutral,7,0
68,Everybody!!,Sergei,6,positive,7,1
69,Good job Joe! Well done! Top notch!,Chandler,3,positive,8,0
70,You liked it? You really liked it?,Joey,6,positive,8,1
71,"Oh-ho-ho, yeah!",Chandler,3,positive,8,2
72,Which part exactly?,Joey,4,neutral,8,3
73,The whole thing! Can we go?,Chandler,4,neutral,8,4
74,"Oh no-no-no, give me some specifics.",Joey,0,negative,8,5
75,"I love the specifics, the specifics were the best part!",Chandler,3,positive,8,6
76,"Hey, what about the scene with the kangaroo? Did-did you like that part?",Joey,4,neutral,8,7
77,I was surprised to see a kangaroo in a World War I epic.,Chandler,6,negative,8,8
78,You fell asleep!!,Joey,0,negative,8,9
79,There was no kangaroo!,Joey,0,negative,8,10
80,They didn’t take any of my suggestions!,Joey,0,negative,8,11
81,That’s for coming buddy.,Joey,4,neutral,8,12
82,I’ll see you later.,Joey,4,neutral,8,13
83,Don’t go!,Chandler,5,negative,8,14
84,I’m sorry.,Chandler,5,negative,8,15
85,I’m so sorry!,Chandler,5,negative,8,16
86,Look!,Chandler,6,negative,8,17
87,This guy fell asleep!,Chandler,0,negative,8,18
88,He fell asleep too!,Chandler,0,negative,8,19
89,Be mad at him!,Chandler,0,negative,8,20
90,"Or, call an ambulance.",Chandler,0,negative,8,21
91,"Okay, look, I think we have to tell Rachel she messed up her dessert.",Joey,4,neutral,9,0
92,"What?! What is with everybody? It’s Thanksgiving, not...Truth-Day!",Ross,0,negative,9,1
93,"Yes, and it is my dying wish to have that ring.",Phoebe,4,neutral,10,0
94,"See, if I’m not buried with that ring then my spirit is going to wander the nether world for all eternity",Phoebe,4,neutral,10,1
95,"Okay, that’s enough honey!",Chandler,4,neutral,10,2
96,"Okay, that’s enough honey!",Chandler,4,neutral,11,0
97,I don’t know.  Let me see the ring.,Customer,4,neutral,11,1
98,"Great! Okay, here.",Chandler,3,positive,11,2
99,All right.,Customer,4,neutral,11,3
100,Thank you. Thank you. Thank you!  And,Chandler,3,positive,11,4
101,What've you been up to?,Chandler,4,neutral,12,0
102,"Oh, you know, the usual, teaching aerobics, partying way too much.",Jade,4,neutral,12,1
103,"Oh, and in case you were wondering, those are my legs on the new James Bond poster.",Jade,4,neutral,12,2
104,Can you hold on a moment? I have another call.  I love her.,Chandler,3,positive,12,3
105,I'm back.,Chandler,4,neutral,12,4
106,"So, are we gonna get together or what?",Jade,4,neutral,12,5
107,"Um, absolutely. Uh, how 'bout tomorrow afternoon? Do you know uh, Central Perk in the Village, say, five-ish?",Chandler,4,neutral,12,6
108,"Great, I'll see you then.",Jade,4,neutral,12,7
109,Ok.  Ok. Having a phone has finally paid off.,Chandler,3,positive,12,8
110,Can you hold on a moment? I have another call.  I love her.,Chandler,3,positive,13,0
111,I know.,Ross,4,neutral,13,1
112,I'm back.,Chandler,4,neutral,13,2
113,Ok.  Ok. Having a phone has finally paid off.,Chandler,3,positive,13,3
114,"Even though you do do a good Bob impression, I'm thinkin' when she sees you tomorow, she's probably gonna realize, ""Hey, you're not Bob.""",Ross,4,neutral,13,4
115,"I'm hoping that when Bob doesn't show up, she will seek comfort in the open arms of the wry stranger at the next table.",Chandler,4,neutral,13,5
